"GO","GO_definition","GO_ontology","GO_term"
"GO:0004371","Catalysis of the reaction: ATP + glycerone = ADP + glycerone phosphate + 2 H(+).","MF","glycerone kinase activity"
"GO:0017006","The covalent linking of a tetrapyrrole to a protein.","BP","protein-tetrapyrrole linkage"
"GO:0032469","Any process involved in the maintenance of an internal steady state of calcium ions within the endoplasmic reticulum of a cell or between the endoplasmic reticulum and its surroundings.","BP","endoplasmic reticulum calcium ion homeostasis"
"GO:0097428","The transfer of an assembled iron-sulfur cluster from a scaffold protein to an acceptor protein that contributes to the attainment of the full functional capacity of a protein.","BP","protein maturation by iron-sulfur cluster transfer"
"GO:0008419","Catalysis of the hydrolysis of branched RNA structures that contain vicinal 2'-5'- and 3'-5'-phosphodiester bonds at a branch point nucleotide.","MF","RNA lariat debranching enzyme activity"
"GO:0008453","Catalysis of the reaction: L-alanine + glyoxylate = pyruvate + glycine.","MF","alanine-glyoxylate transaminase activity"
"GO:0047305","Catalysis of the reaction: (2R)-3-amino-2-methylpropanoate + pyruvate = 2-methyl-3-oxopropanoate + L-alanine.","MF","(R)-3-amino-2-methylpropionate-pyruvate transaminase activity"
"GO:0043240","A protein complex composed of the Fanconi anaemia (FA) proteins including A, C, E, G and F (FANCA-F). Functions in the activation of the downstream protein FANCD2 by monoubiquitylation, and is essential for protection against chromosome breakage.","CC","Fanconi anaemia nuclear complex"
"GO:0001030",NA,NA,NA
"GO:0001031",NA,NA,NA
"GO:0001032",NA,NA,NA
"GO:0001156","Interacting selectively and non-covalently with a general RNA polymerase III transcription factor belonging to the TFIIC complex, one of the factors involved in formation of the preinitiation complex (PIC) by RNA polymerase III.","MF","TFIIIC-class transcription factor complex binding"
"GO:0003179","The process in which the structure of a heart valve is generated and organized.","BP","heart valve morphogenesis"
"GO:0005979","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of glycogen.","BP","regulation of glycogen biosynthetic process"
"GO:0006112","The chemical reactions and pathways by which a cell derives energy from stored compounds such as fats or glycogen.","BP","energy reserve metabolic process"
"GO:0007281","The process whose specific outcome is the progression of an immature germ cell over time, from its formation to the mature structure (gamete). A germ cell is any reproductive cell in a multicellular organism.","BP","germ cell development"
"GO:0007569","An aging process that has as participant a cell after a cell has stopped dividing. Cell aging may occur when a cell has temporarily stopped dividing through cell cycle arrest (GO:0007050) or when a cell has permanently stopped dividing, in which case it is undergoing cellular senescence (GO:0090398). May precede cell death (GO:0008219) and succeed cell maturation (GO:0048469).","BP","cell aging"
"GO:0007616","The memory process that deals with the storage, retrieval and modification of information a long time (typically weeks, months or years) after receiving that information. This type of memory is typically dependent on gene transcription regulated by second messenger activation.","BP","long-term memory"
"GO:0010718","Any process that increases the rate, frequency, or extent of epithelial to mesenchymal transition. Epithelial to mesenchymal transition is where an epithelial cell loses apical/basolateral polarity, severs intercellular adhesive junctions, degrades basement membrane components and becomes a migratory mesenchymal cell.","BP","positive regulation of epithelial to mesenchymal transition"
"GO:0010831","Any process that activates, maintains or increases the frequency, rate or extent of myotube differentiation. Myotube differentiation is the process in which a relatively unspecialized cell acquires specialized features of a myotube cell. Myotubes are multinucleated cells that are formed when proliferating myoblasts exit the cell cycle, differentiate and fuse.","BP","positive regulation of myotube differentiation"
"GO:0010942","Any process that increases the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death.","BP","positive regulation of cell death"
"GO:0014042","Any process that activates or increases the frequency, rate or extent of neuron maturation.","BP","positive regulation of neuron maturation"
"GO:0014736","Any process that stops, prevents, or reduces the frequency, rate, or extent of muscle atrophy.","BP","negative regulation of muscle atrophy"
"GO:0016242","Any process that stops, prevents, or reduces the frequency, rate or extent of macroautophagy.","BP","negative regulation of macroautophagy"
"GO:0031641","Any process that modulates the frequency, rate or extent of the formation of a myelin sheath around nerve axons.","BP","regulation of myelination"
"GO:0031669","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of nutrients.","BP","cellular response to nutrient levels"
"GO:0031929","A series of molecular signals mediated by TOR (Target of rapamycin) proteins, members of the phosphoinositide (PI) 3-kinase related kinase (PIKK) family that act as serine/threonine kinases in response to nutrient availability or growth factors.","BP","TOR signaling"
"GO:0031931","A protein complex that contains at least TOR (target of rapamycin) and Raptor (regulatory-associated protein of TOR), or orthologs of, in complex with other signaling components. Mediates the phosphorylation and activation of S6K. In Saccharomyces, the complex contains Kog1p, Lst8p, Tco89p, and either Tor1p or Tor2p.","CC","TORC1 complex"
"GO:0031998","Any process that modulates the frequency, rate or extent of fatty acid bbeta-oxidation.","BP","regulation of fatty acid beta-oxidation"
"GO:0032095","Any process that modulates the frequency, rate or extent of a response to a food stimulus.","BP","regulation of response to food"
"GO:0032956","Any process that modulates the frequency, rate or extent of the formation, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins.","BP","regulation of actin cytoskeleton organization"
"GO:0038202","A series of intracellular molecular signals mediated by TORC1; TOR (target of rapamycin) in complex with at least Raptor (regulatory-associated protein of TOR), or orthologs of, and other signaling components.","BP","TORC1 signaling"
"GO:0043610","Any process that modulates the frequency, rate or extent of carbohydrate utilization.","BP","regulation of carbohydrate utilization"
"GO:0045429","Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of nitric oxide.","BP","positive regulation of nitric oxide biosynthetic process"
"GO:0045670","Any process that modulates the frequency, rate or extent of osteoclast differentiation.","BP","regulation of osteoclast differentiation"
"GO:0045792","Any process that reduces cell size.","BP","negative regulation of cell size"
"GO:0046889","Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of lipids.","BP","positive regulation of lipid biosynthetic process"
"GO:0050882","The movement of an organism or part of an organism using mechanoreceptors, the nervous system, striated muscle and/or the skeletal system that can be controlled at will.","BP","voluntary musculoskeletal movement"
"GO:0051549","Any process that activates or increases the frequency, rate or extent of keratinocyte migration.","BP","positive regulation of keratinocyte migration"
"GO:0055006","The process whose specific outcome is the progression of a cardiac cell over time, from its formation to the mature state. A cardiac cell is a cell that will form part of the cardiac organ of an individual.","BP","cardiac cell development"
"GO:0055013","The process whose specific outcome is the progression of a cardiac muscle cell over time, from its formation to the mature state.","BP","cardiac muscle cell development"
"GO:0060135","A reproductive process occurring in the mother that allows an embryo or fetus to develop within it.","BP","maternal process involved in female pregnancy"
"GO:0060252","Any process that activates or increases the rate or extent of glial cell proliferation.","BP","positive regulation of glial cell proliferation"
"GO:0060999","Any process that increases the rate, frequency, or extent of dendritic spine development, the process whose specific outcome is the progression of the dendritic spine over time, from its formation to the mature structure.","BP","positive regulation of dendritic spine development"
"GO:0061051","Any process that increases the rate, frequency, or extent of the growth of a cardiac muscle cell, where growth contributes to the progression of the cell over time from its initial formation to its mature state.","BP","positive regulation of cell growth involved in cardiac muscle cell development"
